Заголовок,Время публикации,Описание,Ссылка
Audio long read: Do smartphones and social media really harm teens’ mental health?,25 APR 2025,,https://www.nature.com/articles/d41586-025-01310-w
Hundreds more NSF grants terminated after agency director resigns,25 APR 2025,"Sethuraman Panchanathan resigned Thursday as director of the US National Science Foundation.Credit: Graeme Sloan/Sipa US/Alamy
Fresh turmoil has hit the US National Science Foundation (NSF): hundreds more of the agency’s research grants were terminated today on top of the hundreds already terminated last week, Nature has learnt. The new terminations come one day after the agency’s director abruptly resigned and NSF staff members were offered incentives to retire early due to “future restructuring, staffing reductions, and constrained budget environments”.
The departing director, Sethuraman Panchanathan, was appointed as head of one of the world’s leading funders of basic research by US President Donald Trump in 2019 during his first term in office.
NSF slashes prestigious PhD fellowship awards by half
But Trump, now in office for a second time, allegedly wants to cut the agency’s US$9-billion budget by 55% and its workforce by 50%, according to Science. In a farewell letter to staff, Panchanathan wrote, “I believe that I have done all I can to advance the mission of the agency”, adding, “while NSF has always been an efficient agency, we still took the challenge of identifying other possible efficiencies”.
Nature spoke with seven NSF staff members for this story. All requested anonymity because they are not authorized to speak with the press. Staffers said they were stunned by Panchanathan’s sudden departure. “I respect him more for deciding to resign and not signing the agency’s death warrant,” says one NSF staffer.
Neal Lane, a former NSF director under Democratic president Bill Clinton, offered praise for Panchanathan, who goes by ‘Panch’. “Panch has done an outstanding job” amid the effort to “diminish NSF’s role in science, education and pretty much everything else”, Lane says. The US National Science Board, which governs the NSF, praised Panchanathan in a statement as “fantastic”.
Asked for comment, an NSF spokesperson referred Nature to Panchanathan’s farewell letter. The spokesperson said that Brian Stone, the NSF’s chief of staff, will serve as director until the White House appoints a permanent replacement and the US Senate confirms them. The White House Office of Science and Technology Policy, which oversees the NSF, did not respond to a request for comment.
Crisis mode
Since Trump, a Republican, took office, the NSF has frozen and unfrozen grants, fired and rehired employees and cut its graduate research fellowship programme from about 2,000 positions to 1,000. The latest bout of upheaval began on 17 April, when NSF staff members were given guidance for receiving “VIP visitors” from the Department of Governmental Efficiency (DOGE), an initiative led by Trump ally Elon Musk to reduce federal spending and shrink the federal workforce.
Exclusive: Trump team freezes new NSF awards — and could soon axe hundreds of grants
The guidance said that in the event of a request that “violates or doesn’t follow proper procedures”, employees were to contact Dorothy Aronson, the NSF’s chief information officer. “Do not give any indication that the request will be denied,” the guidance statement noted. Two members of DOGE, Luke Farritor and Zachary Terrell, were quickly given complete access to NSF grant-management systems despite statements in the guidance to staffers that they should initially receive read-only access. The guidance to NSF employees was first reported by FedScoop, a government technology media publication, and confirmed by Nature.
On 18 April, after the arrival of three DOGE staffers at NSF headquarters in Alexandria, Virginia, the agency halted the funding of any new research grants for a week. The agency has now started issuing the grants again, but has issued only 377 for April, compared with 863 in April last year.
The same day, the NSF began terminating research grants that had already been awarded, apparently under orders from DOGE. An internal list obtained by Nature shows that the NSF has axed at least 387 awards worth $237 million, of which roughly 45% has already been spent. Over one-third of these, or 152 grants, had been awarded by the NSF’s directorate of education. The numbers match crowdsourced data compiled in an online database by Scott Delaney, an epidemiologist at the Harvard T. H. Chan School of Public Health in Cambridge, Massachusetts, and Noam Ross, a computational ecologist based in Brooklyn, New York, who is executive director of rOpensci, an open-science, global non-profit.
About 80% of these terminated awards overlap with a list of around 3,500 grants released in February by Ted Cruz, a Republican senator from Texas who chairs the US Senate Committee on Commerce, Science, and Transportation. The list stems from a Cruz-led report saying that the grants ‘promoted Diversity, Equity and Inclusion (DEI)’, a concept that it suggests is “extremist”. Last week, an analysis by Democratic staff for the US House of Representatives’ Committee on Science, Space, and Technology, found that the Cruz list contained a “slew of embarrassing mistakes” and used flawed methodology.
Sudden end",https://www.nature.com/articles/d41586-025-01312-8
Huge reproducibility project fails to validate dozens of biomedical studies,25 APR 2025,"A replication drive focused on results that lean on three methods commonly used in biomedical research in Brazil. Credit: Mauro Pimentel/AFP/Getty
In an unprecedented effort, a coalition of more than 50 research teams has surveyed a swathe of Brazilian biomedical studies to double-check their findings — with dismaying results.
The teams were able to replicate the results of less than half of the tested experiments1. That rate is in keeping with that found by other large-scale attempts to reproduce scientific findings. But the latest work is unique in focusing on papers that use specific methods and in examining the research output of a specific country, according to the research teams.
The results provide an impetus to strengthen the country’s science, the study’s authors say. “We now have the material to start making changes from within — whether through public policies or within universities,” says Mariana Boechat de Abreu, a metascience researcher at the Federal University of Rio de Janeiro (UFRJ) in Brazil and one of the coordinators of the project.
The work was posted on 8 April to the bioRxiv preprint server and has not yet been peer reviewed.
Ambitious undertaking
The massive experiment was coordinated by the Brazilian Reproducibility Initiative, a collaborative effort launched in 2019 by researchers at the UFRJ. The scientists wanted to assess publications “based on methods, rather than research area, perceived importance or citation counts”, de Abreu says. And they wanted to do so on a large scale. Ultimately, 213 scientists at 56 laboratories in Brazil were involved in the work.
The project unfolded during the COVID-19 pandemic, which brought numerous logistical challenges. And teams disagreed about how closely to follow the tested protocols. “It was like trying to turn dozens of garage bands, each with its own way of playing, into an orchestra,” says project coordinator Olavo Bohrer Amaral, a physician at the UFRJ.
Reproducibility trial: 246 biologists get different results from same data sets
The authors began by reviewing a random sample of life-sciences articles to determine the most common biomedical research methods used in Brazil, ensuring that any biomedical lab interested in joining the project would be capable of reproducing the experiments.
They ended up selecting three of these methods: an assay of cell metabolism, a technique for amplifying genetic material and a type of maze test for rodents. Then the authors randomly selected biomedical papers that relied on those methods and were published from 1998 to 2017 by research teams in which at least half the contributors had a Brazilian affiliation.
The collaborators initially chose a subset of 60 papers for replication, guided by factors such as whether a paper included certain statistical information. Three labs tested each experiment, and an independent committee judged which of those tests was a valid replication. The coalition performed 97 valid replication attempts of 47 experiments.
Falling short
The authors judged a paper’s replicability by five criteria, including whether at least half of the replication attempts had statistically significant results in the same direction as the original paper. Only 21% of the experiments were replicable using at least half of the applicable criteria.
The authors also found that the effect size — the magnitude of the observed impact in the experiments — was, on average, 60% larger in the original papers than in the experimental follow-ups, indicating that published results tend to overestimate the effects of the interventions tested.",https://www.nature.com/articles/d41586-025-01266-x
Science sleuths flag hundreds of papers that use AI without disclosing it,24 APR 2025,"Credit: Laurence Dutton/Getty
“As of my last knowledge update”, “regenerate response”, “as an AI language model” — these are just a few of the telltale signs of researchers’ use of artificial intelligence (AI) that science-integrity watchers have found sprinkled through papers in the scholarly literature.
Three ways ChatGPT helps me in my academic writing
Generative AI tools such as ChatGPT have quickly transformed academic publishing. Scientists are increasingly using them to prepare and review manuscripts, and publishers have scrambled to create guidelines for their ethical use. Although policies vary, many publishers require authors to disclose the use of AI in the preparation of scientific papers.
But science sleuths have identified hundreds of cases in which AI tools seem to have been used without disclosure. In some cases, the papers have been silently corrected — the hallmark AI phrases removed without acknowledgement. This type of quiet change is a potential threat to scientific integrity, say some researchers.
Such changes have appeared in a “small minority of journals”, says Alex Glynn, a research literacy and communications instructor at the University of Louisville in Kentucky. But given that there are probably also many cases in which authors have used AI without leaving obvious signs, “I am surprised by how much there is”, he adds.
‘I am an AI language model’
Since 2023, integrity specialists have flagged papers with obvious signs of undisclosed AI use, such as those that contain the phrase “regenerate response”, generated by some chatbots based on large language models when a user wants a new answer to a query. Such phrases can appear in articles when an author copies and pastes a chatbot’s responses.
Scientific sleuths spot dishonest ChatGPT use in papers
One of the first cases that Glynn recalls seeing was in a now-retracted paper published in 2024 in Radiology Case Reports1 that contained the chatbot phrase “I am an AI language model”. “It was as blatant as it could possibly be,” Glynn says. “Somehow this passed not only the authors’ eyes, but the editors, reviewers, typesetters and everyone else who was involved in the production process.”
Glynn has since found hundreds more papers with hallmarks of AI use — including some containing subtler signs, such as the words, “Certainly, here are”, another phrase typical of AI chatbots. He created an online tracker, Academ-AI, to log these cases — and has more than 700 papers listed. In an analysis of the first 500 papers flagged, released as a preprint in November2, Glynn found that 13% of these articles appeared in journals belonging to large publishers, such as Elsevier, Springer Nature and MDPI.
Artur Strzelecki, a researcher at the University of Economics in Katowice, Poland, has also gathered examples of undisclosed AI use in papers, focusing on reputable journals. In a study published in December, he identified 64 papers that were published in journals categorized by the Scopus academic database as being in the top quartile for their field3. “These are places where we’d expect good work from editors and decent reviews,” Strzelecki says.
‘Obviously ChatGPT’ — how reviewers accused me of scientific fraud
Nature’s news team contacted several publishers whose papers had been flagged by Glynn and Strzelecki, including Springer Nature, Taylor & Francis and IEEE. (Nature’s news team is editorially independent of its publisher, Springer Nature.) All said that the flagged papers are under investigation. They also pointed to their AI policies — which, in some cases, do not require disclosure of AI use or require it only for certain uses. Springer (owned by Springer Nature), for example, states that AI-assisted copy editing, which includes changes made for readability, style, and grammar or spelling errors, need not be flagged.
Kim Eggleton, head of peer review and research integrity at IOP Publishing in Bristol, UK, notes that although the publisher introduced a policy requiring authors to declare AI use in 2023, it changed the rules last year to reflect the ubiquity of the tools. “While we encourage authors to disclose the use of AI, it is no longer mandated,” Eggleton says. “We are focusing on ensuring the accuracy and robustness of the content through a combination of automated and human checks, rather than prohibiting AI completely.” IOP’s policy does, however, prohibit the use of AI to “create, alter or manipulate” research data or results.",https://www.nature.com/articles/d41586-025-01180-2
How Trump’s attack on universities is putting research in peril,24 APR 2025,"Harvard University in Cambridge, Massachusetts, is being targeted by the administration of US President Donald Trump in its bid to reshape higher education.Credit: Sophie Park/Getty
A test for lead contamination in water, a project to measure the oldest light in the Universe and a study of heat and drought’s effects on the brain are all on ice after US President Donald Trump’s administration halted research grants to several elite US universities.
US science-funding agencies have so far frozen or cancelled at least US$6 billion in research grants and contracts across a number of top universities (see ‘Science stalled’) as part of the Trump administration’s fight to reshape admissions, teaching and more at these institutions. Such actions have been justified in various ways, or not at all.
The Trump administration has alleged that both Columbia University in New York City, and Harvard University in Cambridge, Massachusetts, failed to stop “antisemitic violence and harassment” on their campuses during protests over the war in Gaza. Funding at the University of Pennsylvania (UPenn) in Philadelphia was halted, with the Trump team citing a transgender athlete who swam on the institution’s women’s team in 2022 (Trump issued an executive order on 20 January saying that such activities deprive women of “dignity, safety, and well-being”.) The reasons for funding freezes at Cornell University in Ithaca, New York, Princeton University in New Jersey and Northwestern University in Evanston, Illinois, have not been communicated publicly.
Source: Data from Trump administration announcements, media reports and NIH RePORT
The Trump team has sent demands to Harvard and Columbia, such as orders to instil more-rigorous student discipline, which it says they must meet to restore funding. Columbia initially yielded, but Harvard did not, and is now suing the administration. More than 200 university presidents have since signed a letter opposing “unprecedented government overreach”.
Trump and his Republican allies have long alleged that elite universities are indoctrinating their students with left-wing ideologies. The president signed an executive order yesterday requiring accreditors — whose evaluations determine whether US institutions can receive federal funds — to prioritize “intellectual diversity” at universities. Scientists are now caught in the crosshairs, as the Trump administration uses federal grants as leverage in its fight.
The White House did not respond to Nature’s request for comment.
Labs on the brink
Last September, the US National Institutes of Health (NIH) awarded epidemiologist Marianthi-Anna Kioumourtzoglou’s team at Columbia a 3-year, $4.2-million grant to investigate the potential impacts of co-occurring natural disasters such as heat, drought and wildfires on brain function. On 10 March, she was told that the grant had been terminated.
More than six weeks later, Kioumourtzoglou’s pay remains steady, but her graduate students have lost their income and one of her postdocs stands to lose their funding after June. Kioumourtzoglou has participated in faculty protests calling on Columbia’s leaders to stand up to the Trump administration. “If we lose academic freedom and freedom of speech, what does research even mean?” she asks.
How Trump 2.0 is slashing NIH-backed research — in charts
Kioumourtzoglou hails from Greece and has thought about leaving the United States, but she isn’t ready to give up. “Someone has to stay and fight,” she says. “If we all start leaving, then who’s left?”
Some laboratories are already being shut down because of the cuts. When Trump came into office, about 15 people, including political scientist Heather Huntington, worked in a development-research lab at UPenn. They studied topics such as education, governance and land use in low-income countries with the goal of fostering sustainable development. Now, after the termination of several million dollars in grants to the lab from the US Department of Defense (DoD) and other agencies, the lab is winding down.
Huntington has already had to terminate several positions and rescind job offers. By the end of August, she says, only two people will be left, including herself. It’s hard to make sense of the decision to cut the funding, she says. “It’s such a small percentage of the US budget, and it’s not going to show up in anyone’s tax bill,” she adds. “And yet the ramifications are immense.”
The DoD and NIH did not respond to Nature’s request for comment before this story was published.
No explanation
Julius Lucks, a chemical and biological engineer at Northwestern, wants to give people safer water in their homes. He has been developing a simple test, which relies on microorganisms’ innate ability to detect lead and can quickly catch contamination in water flowing from lead pipes. The project has been rolling out across Chicago, Illinois, where residents can put drops of their tap water onto Lucks’s test kits to see whether it’s safe to drink. But, on 9 April, he and his colleagues received notice from their funder, the DoD, to stop work on the project immediately. They were not told why their research was put on hold.
In many cases, scientists have received little to no communication from the administration. “They just said ‘we’ve basically stopped this grant, and you have to stop working on it today’,” says David Muller, a physicist at Cornell. Three of his DoD grants have been frozen for weeks without explanation.
These US labs risk imminent closure after Trump cuts",https://www.nature.com/articles/d41586-025-01289-4
Major European institutes join race to save US science data,24 APR 2025,"Several research institutes in Germany are joining a worldwide grass-roots effort to save science data sets that researchers fear could be deleted or decommissioned on the orders of US President Donald Trump’s administration, Nature has learnt.
‘Totally broken’: how Trump 2.0 has paralysed work at US science agencies
An official with Pangaea, a massive environmental data repository run by the University of Bremen and the Alfred Wegener Institute in Bremerhaven, says that the organization is formally working with the US National Oceanic and Atmospheric Administration (NOAA) to back up at-risk databases. Pangaea’s decision to join the cause followed distress calls from members of the science community and from staff members inside NOAA — an agency that monitors Earth’s atmosphere and climate and provides weather-forecasting services. The Trump administration has promised to slash government spending and has proposed to gut NOAA’s climate research programmes, which administration officials have said promote “exaggerated and implausible climate threats”.
Earlier this month, media outlets including Bloomberg reported that access to various agency databases would end within days because the administration wanted to cancel contracts with Amazon Web Services, which hosts NOAA’s data online. The cancellation has since been postponed — but the news sent fear through the research community.
After Trump was elected last year, Eric Nost, a geographer at the University of Guelph in Ontario, Canada, and other volunteers began backing up US data, worried about the information disappearing. Trump 2.0 has lived up to expectations, Nost says, by endangering various kinds of data. But he adds that the situation at NOAA represents the first major threat to core data sets that are crucial for all kinds of environmental research. One scientist who was recently fired from the agency confirmed to Nature that the websites in question include data sets used in active weather-forecasting operations. “If those were to go out, it would be really bad,” says the scientist, who asked to remain anonymous because they fear retaliation while seeking new employment.
NOAA officials did not respond to requests for comment regarding the agency’s work with Pangaea or other statements in this article.
Rescue operation
Pangaea is part of the Helmholtz Association of German Research Centres, which is joining the effort to save US data. The Helmholtz campaign has already expanded to include saving toxicology databases at the US Environmental Protection Agency (EPA). “The idea is to bring five or six institutes together to create a data-rescue package,” says Frank Oliver Glöckner, a bioinformatician who leads Pangaea. “But we must do this officially: we don’t want to steal data. We want to save data.”
(Researchers who are working to safeguard information emphasize that the government data is freely available to download and use.)
Five key climate and space projects on Trump’s chopping block
An EPA spokesperson declined to answer questions regarding efforts to safeguard toxicology databases, but said that the agency is “actively listening to employees at all levels to gather ideas on how to better fulfil agency statutory obligations, increase efficiency and ensure the EPA is as up-to-date and effective as ever”.
Whenever a new president takes office, websites are altered and information moved around as government employees respond to the incoming administration’s priorities. Efforts to preserve old information have been going on for nearly two decades. However, fears of actually losing scientific data came to the fore during Trump’s first presidency, from 2017 to 2021, after agencies including the EPA began taking down websites related to climate and other subjects.",https://www.nature.com/articles/d41586-025-01309-3
Baffling chronic pain eases after doses of gut microbes,24 APR 2025,"The micro-organisms living in the human gut can affect many biological functions, including pain perception.Credit: Steve Gschmeissner/Science Photo Library
What Rina Green calls her “living hell” began with an innocuous backache. By late 2022, two years later, pain flooded her entire body daily and could be so intense that she couldn’t get out of bed. Painkillers and physical therapy offered little relief. She began using a wheelchair.
Green has fibromyalgia, a mysterious condition with symptoms of widespread and chronic muscle pain and fatigue. No one knows why people get fibromyalgia, and it is difficult to treat. But eight months ago, Green received an experimental therapy: pills containing living microorganisms of the kind that populate the healthy human gut. Her pain decreased substantially, and Green, who lives in Haifa, Israel, and is now 38, can go on walks — something she hadn’t done since her fibromyalgia diagnosis.
Green was one of 14 participants in a trial of microbial supplements for the condition. All but two reported an improvement in their symptoms. The trial is so small that “we should take the results with a grain of salt”, says co-organizer Amir Minerbi, a pain scientist at the Technion — Israel Institute of Technology in Haifa. “But it is encouraging [enough] to move forward.” The trial results and data from other experiments linking fibromyalgia to gut microbes are published today in Neuron1.
Pain-inducing microbes
Fibromyalgia affects up to 4% of the global population and occurs in the absence of tissue damage. In 2019, Minerbi and his colleagues discovered that the gut microbiomes — the collection of microbes living in the intestines — of women with fibromyalgia differed significantly from those of healthy women2. This led the scientists to wonder whether a dose of microbes from healthy people would ease the pain and fatigue caused by the condition. After all, previous research3 had shown that gut microbes might indirectly influence an array of chemical signals tied to pain perception.
How pain is misunderstood and ignored in women
The team transplanted minuscule samples of microbe-laden faeces from both women with fibromyalgia and healthy women into mice without any microbes in their bodies. The researchers found that mice that received microbes from women with fibromyalgia showed signs of greater sensitivity to pain in response to pressure, heat and cold than did mice that got microbes from healthy women. The first group also showed more evidence of spontaneous pain.
The team next transplanted faeces from healthy women into mice that had been colonized with fibromyalgia-associated microbes and then treated with antibiotics. These mice showed reduced symptoms of pain after the transplant. Mice that received both transplants but didn’t get antibiotics showed no improvement.
The researchers then conducted a trial with 14 women, including Green, who had severe, treatment-resistant fibromyalgia. All the participants received antibiotics and then, over ten weeks, regularly swallowed capsules containing gut bacteria from healthy women. Twelve reported improvement in symptoms such as pain, anxiety and sleep disturbances. Fatigue was a common side effect of the treatment.
The researchers note that gut microbes from people with fibromyalgia might prompt the immune system to attack neural circuits that are involved in pain. The microbes also metabolize compounds secreted by the human liver into molecules that can affect pain sensitivity.",https://www.nature.com/articles/d41586-025-01290-x
How Democrats and Republicans cite science: study reveals stark differences,24 APR 2025,"How US lawmakers cite scientific papers differs either side of the aisle.Credit: Saul Loeb/AFP via Getty
The United States is known for the deep polarization between its two major political parties — the right-wing Republicans and left-wing Democrats. Now an analysis of hundreds of thousands of policy documents reveals striking differences in partisan policymakers’ use of the scientific literature, with Democratic-led congressional committees and left-wing think tanks more likely to cite research papers than their right-wing counterparts.
Has your research influenced policy? Use this free tool to check
The analysis also shows that Democrats and left-leaning think tanks are more likely to cite high-impact research, and that the two political sides rarely cite the same studies or even the same topics.
“There are striking differences in amount, content and character of the science cited by partisan policymakers,” says Alexander Furnas, a political scientist at Northwestern University in Evanston, Illinois, and a co-author of the analysis, published1 in Science on 24 April.
The researchers used the government-policy database Overton to assemble around 50,000 policy documents produced by US congressional committees in 1995–2021 and around 200,000 reports from 121 ideologically driven US think tanks over a similar period. These documents contained 424,000 scientific references.
Source: Ref. 1
A statistical analysis revealed that congressional reports are now more likely to cite science papers than before. But, in each two-year congressional cycle, documents from committees under Democratic control had a higher probability of citing research papers, and the gap between the two parties has increased (see ‘Science in the US Congress’). Overall, documents from Democratic-controlled committees were nearly 1.8 times more likely to cite science than were reports from Republican-led ones.",https://www.nature.com/articles/d41586-025-01311-9
"A brand-new colour created by lasers, a pig-liver transplant trial gets the green light, and a nugget-sized chunk of lab-grown meat",23 APR 2025,,https://www.nature.com/articles/d41586-025-01288-5
Three ways to cool Earth by pulling carbon from the sky,23 APR 2025,"Sometime in the next several months, a team of US scientists plans to pour a solution of antacid into the waves off the coast of Massachusetts. Using boats, buoys and autonomous gliders, the scientists will track changes in water chemistry that should allow this tiny patch of the Atlantic Ocean to absorb more carbon dioxide from the sky than it normally would.
The US$10-million experiment, dubbed LOC-NESS, aims to test one prominent strategy to reverse global warming by removing CO2 from the atmosphere. Doing so will be neither cheap nor easy. But with the world looking likely to blow past the temperature targets laid out in the 2015 Paris climate agreement, a growing number of scientists and policy specialists say that carbon removal will be necessary later this century if humanity is to achieve its long-term climate goals.
Earth breaches 1.5 °C climate limit for the first time: what does it mean?
Governments, utility companies and hundreds of start-up organizations around the globe are now investing billions of dollars in carbon-removal strategies that take three broad approaches: sucking carbon directly from the air; altering the oceans to absorb more carbon than normal; and enhancing carbon removal on land. In the United States, for example, companies are planning to build several large-scale ‘direct air capture’ facilities that scrub CO2 out of thin air. And in Europe, power companies are developing a strategy that captures carbon emissions from bioenergy plants that burn woodchips, straw and other plant-based materials: the captured CO2 will then be pumped into the ground beneath the North Sea. Many companies are already selling voluntary carbon-removal credits to organizations such as Microsoft and Google to help them meet their climate commitments. By some estimates, the world might need to remove more than 6 billion tonnes of CO2 from the atmosphere each year by mid-century to meet its long-term climate goals(see ‘Catching carbon’)1.
Source: IEA (go.nature.com/4CAV8A9)
If such approaches succeed, these technologies could help many nations and corporations to meet their climate commitments — and help the world to halt global warming. But the carbon-removal industry faces stiff headwinds, owing in part to a lack of international standards for such technologies and formal commitments by governments. Another major hurdle is a political sea change under US President Donald Trump: the United States had been the largest government backer of research and development for carbon-removal technologies, but Trump is now scaling back climate and clean-energy investments. Most importantly, say researchers, there are also scientific questions about whether the budding market for carbon removal and the technologies can live up to the hype.
This is where academic research projects, such as LOC-NESS, come into play, as a way to test carbon-removal strategies in real-world settings. Although the basic science behind this type of ocean experiment is sound, researchers aren’t sure how it will work in practice. The details matter, says Adam Subhas, a geochemist at the Woods Hole Oceanographic Institution in Massachusetts, who is heading up the four-year LOC-NESS project. “There’s all sorts of activity in the private sector,” Subhas says, “and it’s really critical that the science keeps pace.”
Pulling carbon from the air
The cheapest way to draw carbon out of the atmosphere is to grow more forests, but trees are not necessarily a permanent solution because they might be cut down or burn in fires, which are a growing threat. Many scientists and industrialists therefore focus on more permanent — and more expensive — solutions.
The simplest method is industrial-scale direct air capture, but it’s also the most expensive, costing in the region of $600–$1,000 per tonne of CO2, which is roughly 10 times higher than the price of carbon credits on the European Union Emissions Trading System.
Pulling carbon from the sky is necessary but not sufficient
What will become the world’s largest direct-air-capture facility is expected to start operations later this year in west Texas as a joint operation between two companies: Houston-based Occidental Petroleum and Carbon Engineering in Squamish, Canada. The consortium plans to bury the 500,000 tonnes of CO2 captured each year underground. The group is also developing a second facility as part of a direct-air-capture ‘hub’ that received a $600-million grant commitment from the US Department of Energy (DOE) under former president Joe Biden in 2023. Another $600-million commitment from the DOE went to a second air-capture hub in Louisiana, which features a pair of facilities that will use technology from Heirloom Carbon Technologies, a firm in Brisbane, California, and a Swiss company called Climeworks based in Zurich that operates what is currently the world’s largest direct-air-capture facility, in Iceland.
Both of the DOE hubs will pump the carbon they extract from the atmosphere underground. With funding from an infrastructure law passed by Congress in 2021, the DOE had planned to invest another $2.3 billion in other air-capture projects. But since Trump took office, the DOE has frozen funding for that programme, including money committed to the plants in Texas and Louisiana. It remains unclear whether or when the agency will fulfil even its existing grant commitments, which many specialists fear will threaten the viability of both hubs.
At a plant in Squamish, Canada, the firm Carbon Engineering tests carbon-capture technology.Credit: James MacDonald/Bloomberg/Getty
“We don’t actually know whether the Trump administration will honour these contracts, even though they are legally binding,” says a person who worked in carbon removal at the DOE before being fired alongside roughly 2,000 other probationary employees in February. “It puts a lot of these projects in a really risky place,” says the former DOE employee who declined to be named because of concerns over potential retribution.
Others fear that the Trump administration will take further steps that slow advances in this area, such as freezing funding that was set aside for the purchase of carbon-removal credits on behalf of the US government. There are also concerns that the administration could dismantle an interagency effort dubbed the Carbon Negative Shot, which aims to scale-up technologies and reduce the cost of carbon removal to below $100 per tonne by 2032. The government could have played an important part in advancing research and development, as well as promoting the creation of common standards for an industry that currently operates like the Wild West, says Wil Burns, co-director of the Institute for Carbon Removal Law and Policy at American University in Washington DC. But those efforts “are being swept away” by the new administration, adds Burns. The DOE did not respond to a request to comment from Nature.
Ocean alchemy
One project that seems to be moving forwards for now is LOC-NESS, which has received support through a $24-million public–private research programme coordinated by the US National Oceanic and Atmospheric Administration (NOAA). In August, assuming that the final permits come through, Subhas and his team will release a solution containing 50 tonnes of sodium hydroxide (which is not used as an antacid for humans) alongside an inert tracer dye roughly 60 kilometres off the coast of Provincetown, Massachusetts. The researchers will then monitor the solution as it disperses, reducing the acidity of seawater and enabling it to absorb more CO2 from the atmosphere.
In theory, Subhas says, the biological effects will mostly be minor and positive2, but monitoring during the experiment should help the team to assess potential impacts on shell-building organisms such as phytoplankton and diatoms. Studies using computer modelling suggest that during the week-long field experiment, the researchers should be able to measure how much CO2 is absorbed by the ocean as a result of their intervention.
Start-ups are adding antacids to the ocean to slow global warming. Will it work?
If the team can show that it is possible to monitor and quantify how much extra CO2 is absorbed, the potential for scaling up is significant: with even a small increase in alkalinity, Subhas says, coastal countries around the world could collectively extract one billion tonnes of CO2 from the atmosphere each year, which is roughly equivalent to the annual carbon emissions from Japan and is about 3% of global emissions. Cost estimates vary widely for appoaches that depend on altering ocean chemistry to absorb carbon, but most suggest that they are likely to be cheaper than direct air capture3.
LOC-NESS is just one of 17 projects funded through the NOAA research programme, and so far those efforts are all moving forwards. Other NOAA projects focus on a variety of methods to absorb CO2 in the oceans, including fertilizing the water with iron to grow more phytoplankton and farming seaweed.
The programme intentionally took a diverse approach testing various options. “We’re not at a point yet where we can put together our knowledge and say which methods work at scale,” says a former government employee familiar with the effort. They declined to be named because they were fired as part of mass lay-offs by the Trump administration and fear retaliation.",https://www.nature.com/articles/d41586-025-01233-6
